id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR15991271,"revseq_run_m2-32WNFL_20251203113915548938","NextSeq 500",2025-12-03T11:43:36,2025-12-03T16:04:56,PUBLIC,Webin-65854,ERP167225,ERX15386377,ERS28304228
ERR15991270,"revseq_run_m2-3edUBd_20251203113915594123","NextSeq 500",2025-12-03T11:43:28,2025-12-03T16:04:51,PUBLIC,Webin-65854,ERP167225,ERX15386376,ERS28304227
ERR15991269,"revseq_run_m2-375EUk_20251203113915640464","NextSeq 500",2025-12-03T11:43:21,2025-12-03T16:04:40,PUBLIC,Webin-65854,ERP167225,ERX15386375,ERS28304226
ERR15991268,"revseq_run_m2-xwkVbK_20251203113915684524","NextSeq 500",2025-12-03T11:43:14,2025-12-03T16:04:38,PUBLIC,Webin-65854,ERP167225,ERX15386374,ERS28304225
ERR15991267,"revseq_run_m2-itJLqU_20251203113915727663","NextSeq 500",2025-12-03T11:43:07,2025-12-03T16:04:55,PUBLIC,Webin-65854,ERP167225,ERX15386373,ERS28304224
ERR15991265,"revseq_run_m2-xxAxC9_20251203113915770062","NextSeq 500",2025-12-03T11:43:00,2025-12-03T16:04:37,PUBLIC,Webin-65854,ERP167225,ERX15386371,ERS28304223
ERR15991264,"revseq_run_m2-g33df2_20251203113915815631","NextSeq 500",2025-12-03T11:42:53,2025-12-03T16:04:39,PUBLIC,Webin-65854,ERP167225,ERX15386370,ERS28304222
ERR15991263,"revseq_run_m2-opfXjQ_20251203113915863544","NextSeq 500",2025-12-03T11:42:46,2025-12-03T16:04:51,PUBLIC,Webin-65854,ERP167225,ERX15386369,ERS28304221
ERR15991262,"revseq_run_m2-Sm9GYA_20251203113915910379","NextSeq 500",2025-12-03T11:42:39,2025-12-03T16:04:52,PUBLIC,Webin-65854,ERP167225,ERX15386368,ERS28304220
ERR15991261,"revseq_run_m2-eAr6Lo_20251203113915955488","NextSeq 500",2025-12-03T11:42:32,2025-12-03T16:04:47,PUBLIC,Webin-65854,ERP167225,ERX15386367,ERS28304219
ERR15991260,"revseq_run_m2-xHGR9u_20251203113916002179","NextSeq 500",2025-12-03T11:42:22,2025-12-03T16:04:50,PUBLIC,Webin-65854,ERP167225,ERX15386366,ERS28304218
ERR15991259,"revseq_run_m2-4rvG7f_20251203113916048316","NextSeq 500",2025-12-03T11:42:15,2025-12-03T16:04:54,PUBLIC,Webin-65854,ERP167225,ERX15386365,ERS28304217
ERR15991258,"revseq_run_m2-SQZYHn_20251203113916094075","NextSeq 500",2025-12-03T11:42:08,2025-12-03T16:04:35,PUBLIC,Webin-65854,ERP167225,ERX15386364,ERS28304216
ERR15991257,"revseq_run_m2-oLXZ9a_20251203113916137727","NextSeq 500",2025-12-03T11:42:01,2025-12-03T16:04:57,PUBLIC,Webin-65854,ERP167225,ERX15386363,ERS28304215
ERR15991240,"revseq_run_m2-9HhvMh_20251203113916194421","NextSeq 500",2025-12-03T11:41:54,2025-12-03T16:04:37,PUBLIC,Webin-65854,ERP167225,ERX15386346,ERS28304214
ERR15991239,"revseq_run_m2-FHPnrx_20251203113916245875","NextSeq 500",2025-12-03T11:41:47,2025-12-03T16:04:48,PUBLIC,Webin-65854,ERP167225,ERX15386345,ERS28304213
ERR15991238,"revseq_run_m2-URVR7h_20251203113916291285","NextSeq 500",2025-12-03T11:41:40,2025-12-03T16:04:58,PUBLIC,Webin-65854,ERP167225,ERX15386344,ERS28304212
ERR15991237,"revseq_run_m2-ss4Fh8_20251203113916339626","NextSeq 500",2025-12-03T11:41:32,2025-12-03T16:04:43,PUBLIC,Webin-65854,ERP167225,ERX15386343,ERS28304211
ERR15991234,"revseq_run_m2-VA9Yi5_20251203113916383034","NextSeq 500",2025-12-03T11:41:24,2025-12-03T16:04:54,PUBLIC,Webin-65854,ERP167225,ERX15386340,ERS28304209
ERR15991125,"revseq_run_m2-qtZxkz_20251203113916428757","NextSeq 500",2025-12-03T11:41:16,2025-12-03T16:04:38,PUBLIC,Webin-65854,ERP167225,ERX15386231,ERS28304208
ERR15991124,"revseq_run_m2-PGaVE8_20251203113916473908","NextSeq 500",2025-12-03T11:41:07,2025-12-03T16:04:46,PUBLIC,Webin-65854,ERP167225,ERX15386230,ERS28304207
ERR15991123,"revseq_run_m2-39kc9U_20251203113916518338","NextSeq 500",2025-12-03T11:40:58,2025-12-03T16:04:52,PUBLIC,Webin-65854,ERP167225,ERX15386229,ERS28304206
ERR15991122,"revseq_run_m2-q2oXnd_20251203113916563639","NextSeq 500",2025-12-03T11:40:45,2025-12-03T16:04:55,PUBLIC,Webin-65854,ERP167225,ERX15386228,ERS28304205
ERR15991121,"revseq_run_m2-x6NRYc_20251203113916609443","NextSeq 500",2025-12-03T11:40:36,2025-12-03T16:04:34,PUBLIC,Webin-65854,ERP167225,ERX15386227,ERS28304204
